provider,model,task,task_label,n,chrf,multilingual_bertscore_f1,manual_fluency_1_to_5,manual_adequacy_1_to_5
gemini,gemini-2.5-flash,code_mixed_normalization,Extra: Hinglish to Clean Hindi,20,0.2578377021669266,0.9878197803728648,1.0,1.0
gemini,gemini-2.5-flash,cross_lingual_qa,Cross-lingual QA,20,0.13978181419184557,0.9835311990605156,1.0,1.0
gemini,gemini-2.5-flash,summarization,Summarisation,20,0.08553546687390107,0.9830858283399764,1.0,1.0
gemini,gemini-2.5-flash,translation,Translation,24,0.3067325978105619,0.9885532589857243,1.0,1.0
