provider,type,n,rouge_l,bertscore_f1,faithfulness_manual_or_auto_pct
gemini,adversarial_absent,2,0.20593191776204917,0.96048759969546,50.0
gemini,factual_community,6,0.1875628443004329,0.9644706929026841,83.33333333333334
gemini,opinion_summary,10,0.172754140302703,0.9645752357487403,100.0
groq,adversarial_absent,2,0.29577464788732394,0.9630904163840578,100.0
groq,factual_community,6,0.15237772615821393,0.9555010178014035,83.33333333333334
groq,opinion_summary,10,0.13069377868741397,0.9561153343510671,100.0
